combo_name,classes,macro_f1,support_f1,deny_f1,query_f1,comment_f1
1-shot: S,support,0.3249394403208892,0.3925233644859813,0.2857142857142857,0.25380710659898476,0.36771300448430494
1-shot: D,deny,0.17605017657142294,0.17886178861788618,0.0,0.23696682464454977,0.28837209302325584
1-shot: Q,query,0.40799110671936756,0.4659090909090909,0.22727272727272727,0.43478260869565216,0.504
1-shot: C,comment,0.27589038096628227,0.40384615384615385,0.25,0.35294117647058826,0.0967741935483871
2-shot: S+D,support+deny,0.1819771404092918,0.14736842105263157,0.26666666666666666,0.19622641509433963,0.11764705882352941
2-shot: S+Q,support+query,0.4023123967769381,0.46153846153846156,0.27586206896551724,0.336,0.5358490566037736
2-shot: S+C,support+comment,0.3113594550246134,0.42857142857142855,0.2857142857142857,0.2958579881656805,0.23529411764705882
2-shot: D+Q,deny+query,0.42762865394956395,0.49019607843137253,0.13333333333333333,0.5679012345679012,0.5190839694656488
2-shot: D+C,deny+comment,0.22138941102756893,0.4421052631578947,0.0,0.2976190476190476,0.14583333333333334
2-shot: Q+C,query+comment,0.4305928359738148,0.4700460829493088,0.36363636363636365,0.4835164835164835,0.4051724137931034
3-shot: S+D+Q,support+deny+query,0.4323819534365937,0.4824120603015075,0.36363636363636365,0.46153846153846156,0.4219409282700422
3-shot: S+D+C,support+deny+comment,0.24007492604994068,0.3076923076923077,0.3076923076923077,0.23853211009174313,0.10638297872340426
3-shot: S+Q+C,support+query+comment,0.372840248509366,0.4365482233502538,0.32,0.37606837606837606,0.35874439461883406
3-shot: D+Q+C,deny+query+comment,0.4398601544812096,0.47161572052401746,0.35294117647058826,0.5348837209302325,0.4
4-shot: S+D+Q+C,support+deny+query+comment,0.40586836471561333,0.44086021505376344,0.3076923076923077,0.43137254901960786,0.4435483870967742
